,Film,Year,Award,Nomination
189,God of Love,2010,1,1
190,The Wolfman,2010,1,1
191,Strangers No More,2010,1,1
192,Inside Job,2010,1,1
193,The Hurt Locker,2009,6,9
194,Avatar,2009,3,9
195,Precious,2009,2,6
196,Up,2009,2,5
197,Crazy Heart,2009,2,3
198,Inglourious Basterds,2009,1,8
199,Star Trek,2009,1,4
200,The Young Victoria,2009,1,3
201,The Blind Side,2009,1,2
202,Music by Prudence,2009,1,1
203,The Secret in Their Eyes,2009,1,1
204,The Cove,2009,1,1
205,The New Tenants,2009,1,1
206,Logorama,2009,1,1
207,Slumdog Millionaire,2008,8,10
208,The Curious Case of Benjamin Button,2008,3,13
209,Milk,2008,2,8
210,The Dark Knight,2008,2,8
211,WALL-E,2008,1,6
212,The Reader,2008,1,5
213,The Duchess,2008,1,2
214,Departures,2008,1,1
215,Vicky Cristina Barcelona,2008,1,1
216,Smile Pinki,2008,1,1
217,Man on Wire,2008,1,1
218,Toyland,2008,1,1
219,La Maison en Petits Cubes,2008,1,1
220,No Country for Old Men,2007,4,8
221,The Bourne Ultimatum,2007,3,3
222,There Will Be Blood,2007,2,8
223,La Vie en rose,2007,2,3
224,Atonement,2007,1,7
225,Michael Clayton,2007,1,7
226,Ratatouille,2007,1,5
227,Juno,2007,1,4
228,Sweeney Todd: The Demon Barber of Fleet Street,2007,1,3
229,The Golden Compass,2007,1,2
230,Elizabeth: The Golden Age,2007,1,2
231,Taxi to the Dark Side,2007,1,1
232,Peter &amp; the Wolf,2007,1,1
233,Once,2007,1,1
234,Le Mozart des pickpockets,2007,1,1
235,The Counterfeiters,2007,1,1
236,Freeheld,2007,1,1
237,The Departed,2006,4,5
238,Pan's Labyrinth,2006,3,6
239,Dreamgirls,2006,2,8
240,Little Miss Sunshine,2006,2,4
241,An Inconvenient Truth,2006,2,2
242,Babel,2006,1,7
243,The Queen,2006,1,6
244,Letters from Iwo Jima,2006,1,4
245,Pirates of the Caribbean: Dead Man's Chest,2006,1,4
246,The Danish Poet,2006,1,1
247,Happy Feet,2006,1,1
248,The Last King of Scotland,2006,1,1
249,The Lives of Others,2006,1,1
250,Marie Antoinette,2006,1,1
251,West Bank Story,2006,1,1
252,The Blood of Yingzhou District,2006,1,1
253,Crash,2005,3,6
254,Brokeback Mountain,2005,3,8
255,Memoirs of a Geisha,2005,3,6
256,King Kong,2005,3,4
257,Capote,2005,1,5
258,Walk the Line,2005,1,5
259,The Constant Gardener,2005,1,4
260,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,1,3
261,Hustle &amp; Flow,2005,1,2
262,Syriana,2005,1,2
263,March of the Penguins,2005,1,1
264,Six Shooter,2005,1,1
265,The Moon and the Son: An Imagined Conversation,2005,1,1
266,A Note of Triumph: The Golden Age of Norman Corwin,2005,1,1
267,Tsotsi,2005,1,1
268,Wallace &amp; Gromit: The Curse of the Were-Rabbit,2005,1,1
269,Million Dollar Baby,2004,4,7
270,The Aviator,2004,5,11
271,Ray,2004,2,6
272,The Incredibles,2004,2,4
273,Finding Neverland,2004,1,7
274,Sideways,2004,1,5
275,Lemony Snicket's A Series of Unfortunate Events,2004,1,4
276,Spider-Man 2,2004,1,3
277,Eternal Sunshine of the Spotless Mind,2004,1,2
278,The Motorcycle Diaries,2004,1,2
279,The Sea Inside,2004,1,2
280,Born into Brothels,2004,1,1
281,Mighty Times: The Children's March,2004,1,1
282,Wasp,2004,1,1
283,Ryan,2004,1,1
284,The Lord of the Rings: The Return of the King,2003,11,11
285,Master and Commander: The Far Side of the World,2003,2,10
286,Mystic River,2003,2,6
287,Cold Mountain,2003,1,7
288,Lost in Translation,2003,1,4
289,Finding Nemo,2003,1,4
290,The Barbarian Invasions,2003,1,2
291,Two Soldiers,2003,1,1
292,Monster,2003,1,1
293,Harvie Krumpet,2003,1,1
294,Chernobyl Heart,2003,1,1
295,The Fog of War,2003,1,1
296,Chicago,2002,6,13
297,The Pianist,2002,3,7
298,The Lord of the Rings: The Two Towers,2002,2,6
299,Frida,2002,2,6
300,The Hours,2002,1,9
301,Road to Perdition,2002,1,6
302,Adaptation,2002,1,4
303,Talk to Her,2002,1,2
304,This Charming Man,2002,1,1
305,Spirited Away,2002,1,1
306,Nowhere in Africa,2002,1,1
307,The ChubbChubbs!,2002,1,1
308,Twin Towers,2002,1,1
309,Bowling for Columbine,2002,1,1
310,8 Mile,2002,1,1
311,A Beautiful Mind,2001,4,8
312,The Lord of the Rings: The Fellowship of the Ring,2001,4,13
313,Moulin Rouge!,2001,2,8
314,Black Hawk Down,2001,2,4
315,Gosford Park,2001,1,7
